Rank,Restaurant,Sales,City,State
52,P.F. Chang's,917,NA,NA
53,Qdoba Mexican Eats,901,NA,NA
54,El Pollo Loco,894,NA,NA
55,Krispy Kreme,887,NA,NA
56,Hooters,858,NA,NA
57,Del Taco,850,NA,NA
58,Firehouse Subs,832,NA,NA
59,Bob Evans,795,NA,NA
60,Moe's Southwest Grill,749,NA,NA
61,Papa Murphy's Pizza,748,NA,NA
62,Ruby Tuesday,731,NA,NA
63,McAlister's Deli,725,NA,NA
64,Cheddar's Scratch Kitchen,724,NA,NA
65,Church's Chicken,716,NA,NA
66,Tim Hortons,714,Toronto,ON
67,Ruth's Chris Steak House,703,Winter Park,FL
68,Carrabba's Italian Grill,653,NA,NA
69,Jason's Deli,647,NA,NA
70,Marco's Pizza,628,NA,NA
71,Shake Shack,622,NA,NA
72,California Pizza Kitchen,621,NA,NA
73,Baskin-Robbins,615,NA,NA
74,Yard House,609,NA,NA
75,Bonefish Grill,587,NA,NA
76,White Castle,579,NA,NA
77,Tropical Smoothie Cafe,576,NA,NA
78,Dave & Buster's,571,Dallas,TX
79,Dutch Bros. Coffee,567,NA,NA
80,Captain D's Seafood Kitchen,561,NA,NA
